scenario,time,resident,x,z,speed,reason
cautious,3.50,1,0.458,0.248,0.358,우회: Resident_01
cautious,3.75,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
cautious,3.75,1,0.375,0.246,0.232,우회: Resident_01
cautious,4.00,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
cautious,4.00,1,0.287,0.248,0.300,우회: Resident_01
cautious,4.25,0,-1.447,0.000,0.000,경로 이동
cautious,4.25,1,0.224,0.249,0.368,우회: Resident_01
cautious,4.50,0,-1.447,0.000,0.000,경로 이동
cautious,4.50,1,0.163,0.248,0.243,우회: Resident_01
cautious,4.75,0,-1.447,0.000,0.000,경로 이동
cautious,4.75,1,0.116,0.250,0.080,우회: Resident_01
cautious,5.00,0,-1.447,0.000,0.000,경로 이동
cautious,5.00,1,0.078,0.250,0.072,우회: Resident_01
cautious,5.25,0,-1.499,0.007,0.401,경로 이동
cautious,5.25,1,0.017,0.247,0.446,우회: Resident_01
cautious,5.50,0,-1.665,-0.055,0.931,경로 이동
cautious,5.50,1,-0.185,0.245,1.047,우회: Resident_01
cautious,5.75,0,-1.882,-0.255,1.313,경로 이동
cautious,5.75,1,-0.511,0.239,1.262,경로 이동
cautious,6.00,0,-2.021,-0.566,1.380,경로 이동
cautious,6.00,1,-0.874,0.217,1.476,경로 이동
cautious,6.25,0,-2.116,-0.854,0.987,경로 이동
cautious,6.25,1,-1.242,0.192,1.476,경로 이동
cautious,6.50,0,-2.165,-1.000,0.362,느긋함: 잠시 양보
cautious,6.50,1,-1.610,0.166,1.476,경로 이동
cautious,6.75,0,-2.170,-1.016,0.000,느긋함: 잠시 양보
cautious,6.75,1,-1.952,0.168,1.227,우회: Resident_01
cautious,7.00,0,-2.170,-1.016,0.000,느긋함: 잠시 양보
cautious,7.00,1,-2.217,0.280,1.288,경로 이동
cautious,7.25,0,-2.170,-1.016,0.000,느긋함: 잠시 양보
cautious,7.25,1,-2.540,0.451,1.476,경로 이동
cautious,7.50,0,-2.170,-1.016,0.000,느긋함: 잠시 양보
cautious,7.50,1,-2.888,0.571,1.476,경로 이동
cautious,7.75,0,-2.170,-1.016,0.000,느긋함: 잠시 양보
cautious,7.75,1,-3.243,0.604,1.377,경로 이동
cautious,8.00,0,-2.170,-1.016,0.000,느긋함: 잠시 양보
cautious,8.00,1,-3.577,0.489,1.448,경로 이동
cautious,8.25,0,-2.170,-1.010,0.125,경로 이동
cautious,8.25,1,-3.833,0.249,1.335,경로 이동
cautious,8.50,0,-2.139,-0.890,0.745,경로 이동
cautious,8.50,1,-3.972,0.035,0.772,경로 이동
cautious,8.75,0,-2.075,-0.618,1.363,경로 이동
cautious,8.75,1,-4.026,-0.049,0.147,경로 이동
cautious,9.00,0,-2.026,-0.376,0.738,경로 이동
cautious,9.00,1,-4.026,-0.050,0.000,도착
cautious,9.25,0,-1.995,-0.267,0.426,경로 이동
cautious,9.25,1,-4.026,-0.050,0.000,도착
cautious,9.50,0,-1.883,-0.175,0.732,경로 이동
cautious,9.50,1,-4.026,-0.050,0.000,도착
cautious,9.75,0,-1.631,-0.130,1.243,경로 이동
cautious,9.75,1,-4.026,-0.050,0.000,도착
cautious,10.00,0,-1.287,-0.121,1.380,경로 이동
cautious,10.00,1,-4.026,-0.050,0.000,도착
cautious,10.25,0,-0.942,-0.113,1.380,경로 이동
cautious,10.25,1,-4.026,-0.050,0.000,도착
cautious,10.50,0,-0.597,-0.105,1.380,경로 이동
cautious,10.50,1,-4.026,-0.050,0.000,도착
cautious,10.75,0,-0.252,-0.097,1.380,경로 이동
cautious,10.75,1,-4.026,-0.050,0.000,도착
cautious,11.00,0,0.093,-0.090,1.380,경로 이동
cautious,11.00,1,-4.026,-0.050,0.000,도착
cautious,11.25,0,0.438,-0.082,1.380,경로 이동
cautious,11.25,1,-4.026,-0.050,0.000,도착
cautious,11.50,0,0.782,-0.074,1.380,경로 이동
cautious,11.50,1,-4.026,-0.050,0.000,도착
cautious,11.75,0,1.127,-0.066,1.380,경로 이동
cautious,11.75,1,-4.026,-0.050,0.000,도착
cautious,12.00,0,1.472,-0.058,1.380,경로 이동
cautious,12.00,1,-4.026,-0.050,0.000,도착
cautious,12.25,0,1.817,-0.050,1.380,경로 이동
cautious,12.25,1,-4.026,-0.050,0.000,도착
cautious,12.50,0,2.162,-0.042,1.380,경로 이동
cautious,12.50,1,-4.026,-0.050,0.000,도착
cautious,12.75,0,2.507,-0.034,1.380,경로 이동
cautious,12.75,1,-4.026,-0.050,0.000,도착
cautious,13.00,0,2.852,-0.026,1.380,경로 이동
cautious,13.00,1,-4.026,-0.050,0.000,도착
cautious,13.25,0,3.197,-0.018,1.380,경로 이동
cautious,13.25,1,-4.026,-0.050,0.000,도착
cautious,13.50,0,3.542,-0.010,1.380,경로 이동
cautious,13.50,1,-4.026,-0.050,0.000,도착
cautious,13.75,0,3.837,-0.004,0.947,경로 이동
cautious,13.75,1,-4.026,-0.050,0.000,도착
cautious,14.00,0,3.980,0.000,0.322,경로 이동
cautious,14.00,1,-4.026,-0.050,0.000,도착
eager,0.00,0,-3.994,0.000,0.125,경로 이동
eager,0.00,1,3.994,0.000,0.125,경로 이동
eager,0.25,0,-3.869,0.000,0.750,경로 이동
eager,0.25,1,3.869,0.000,0.750,경로 이동
eager,0.50,0,-3.588,0.000,1.375,경로 이동
eager,0.50,1,3.588,0.000,1.375,경로 이동
eager,0.75,0,-3.243,0.000,1.380,경로 이동
eager,0.75,1,3.219,0.000,1.476,경로 이동
eager,1.00,0,-2.898,0.000,1.380,경로 이동
eager,1.00,1,2.849,0.000,1.476,경로 이동
eager,1.25,0,-2.553,0.000,1.380,경로 이동
eager,1.25,1,2.480,0.000,1.476,경로 이동
eager,1.50,0,-2.208,0.000,1.380,경로 이동
eager,1.50,1,2.111,0.000,1.476,경로 이동
eager,1.75,0,-1.863,0.000,1.380,경로 이동
eager,1.75,1,1.742,0.000,1.476,경로 이동
eager,2.00,0,-1.580,0.000,0.880,느긋함: 양보 Resident_02
eager,2.00,1,1.436,0.000,0.976,우회: Resident_01
eager,2.25,0,-1.454,0.000,0.255,느긋함: 양보 Resident_02
eager,2.25,1,1.219,0.056,1.036,우회: Resident_01
eager,2.50,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
eager,2.50,1,0.973,0.176,1.039,우회: Resident_01
eager,2.75,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
eager,2.75,1,0.806,0.232,0.605,우회: Resident_01
eager,3.00,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
eager,3.00,1,0.680,0.244,0.454,우회: Resident_01
eager,3.25,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
eager,3.25,1,0.560,0.244,0.328,우회: Resident_01
eager,3.50,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
eager,3.50,1,0.458,0.248,0.358,우회: Resident_01
eager,3.75,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
eager,3.75,1,0.375,0.246,0.232,우회: Resident_01
eager,4.00,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
eager,4.00,1,0.287,0.248,0.300,우회: Resident_01
eager,4.25,0,-1.447,0.000,0.000,경로 이동
eager,4.25,1,0.224,0.249,0.368,우회: Resident_01
eager,4.50,0,-1.447,0.000,0.000,경로 이동
eager,4.50,1,0.163,0.248,0.243,우회: Resident_01
eager,4.75,0,-1.447,0.000,0.000,경로 이동
eager,4.75,1,0.116,0.250,0.080,우회: Resident_01
eager,5.00,0,-1.459,0.010,0.189,경로 이동
eager,5.00,1,0.066,0.250,0.321,우회: Resident_01
eager,5.25,0,-1.552,0.030,0.535,경로 이동
eager,5.25,1,-0.045,0.246,0.695,우회: Resident_01
eager,5.50,0,-1.741,-0.041,0.996,경로 이동
eager,5.50,1,-0.247,0.244,1.046,우회: Resident_01
eager,5.75,0,-1.941,-0.259,1.297,경로 이동
eager,5.75,1,-0.573,0.238,1.261,경로 이동
eager,6.00,0,-2.052,-0.581,1.380,경로 이동
eager,6.00,1,-0.936,0.216,1.476,경로 이동
eager,6.25,0,-2.144,-0.875,1.025,경로 이동
eager,6.25,1,-1.304,0.190,1.476,경로 이동
eager,6.50,0,-2.199,-1.028,0.400,느긋함: 양보 Resident_02
eager,6.50,1,-1.672,0.165,1.476,경로 이동
eager,6.75,0,-2.207,-1.049,0.000,느긋함: 양보 Resident_02
eager,6.75,1,-2.027,0.153,1.303,우회: Resident_01
eager,7.00,0,-2.207,-1.049,0.000,느긋함: 양보 Resident_02
eager,7.00,1,-2.320,0.250,1.354,경로 이동
eager,7.25,0,-2.290,-1.036,0.565,경로 이동
eager,7.25,1,-2.645,0.423,1.476,경로 이동
eager,7.50,0,-2.490,-0.939,1.038,경로 이동
eager,7.50,1,-2.994,0.540,1.476,경로 이동
eager,7.75,0,-2.769,-0.793,1.380,경로 이동
eager,7.75,1,-3.352,0.614,1.461,우회: Resident_01
eager,8.00,0,-3.074,-0.633,1.380,경로 이동
eager,8.00,1,-3.707,0.666,1.476,우회: Resident_01
eager,8.25,0,-3.287,-0.489,0.810,경로 이동
eager,8.25,1,-4.059,0.769,1.473,우회: Resident_01
eager,8.50,0,-3.354,-0.378,0.359,경로 이동
eager,8.50,1,-4.416,0.732,1.391,우회: Resident_01
eager,8.75,0,-3.338,-0.291,0.406,경로 이동
eager,8.75,1,-4.694,0.564,1.273,우회: Resident_01
eager,9.00,0,-3.232,-0.197,0.725,경로 이동
eager,9.00,1,-4.851,0.300,1.197,경로 이동
eager,9.25,0,-2.983,-0.142,1.236,경로 이동
eager,9.25,1,-4.856,0.013,1.156,경로 이동
eager,9.50,0,-2.641,-0.121,1.380,경로 이동
eager,9.50,1,-4.708,-0.261,1.370,경로 이동
eager,9.75,0,-2.296,-0.102,1.380,경로 이동
eager,9.75,1,-4.444,-0.463,1.250,경로 이동
eager,10.00,0,-1.952,-0.082,1.380,경로 이동
eager,10.00,1,-4.179,-0.515,1.002,경로 이동
eager,10.25,0,-1.607,-0.063,1.380,경로 이동
eager,10.25,1,-3.970,-0.423,0.906,경로 이동
eager,10.50,0,-1.263,-0.043,1.380,경로 이동
eager,10.50,1,-3.864,-0.230,0.889,경로 이동
eager,10.75,0,-0.918,-0.027,1.380,경로 이동
eager,10.75,1,-3.892,-0.032,0.729,경로 이동
eager,11.00,0,-0.573,-0.021,1.380,경로 이동
eager,11.00,1,-3.977,0.056,0.323,경로 이동
eager,11.25,0,-0.228,-0.020,1.380,경로 이동
eager,11.25,1,-3.994,0.063,0.000,도착
eager,11.50,0,0.117,-0.018,1.380,경로 이동
eager,11.50,1,-3.994,0.063,0.000,도착
eager,11.75,0,0.462,-0.016,1.380,경로 이동
eager,11.75,1,-3.994,0.063,0.000,도착
eager,12.00,0,0.807,-0.015,1.380,경로 이동
eager,12.00,1,-3.994,0.063,0.000,도착
eager,12.25,0,1.152,-0.013,1.380,경로 이동
eager,12.25,1,-3.994,0.063,0.000,도착
eager,12.50,0,1.497,-0.012,1.380,경로 이동
eager,12.50,1,-3.994,0.063,0.000,도착
eager,12.75,0,1.842,-0.010,1.380,경로 이동
eager,12.75,1,-3.994,0.063,0.000,도착
eager,13.00,0,2.187,-0.008,1.380,경로 이동
eager,13.00,1,-3.994,0.063,0.000,도착
eager,13.25,0,2.532,-0.007,1.380,경로 이동
eager,13.25,1,-3.994,0.063,0.000,도착
eager,13.50,0,2.877,-0.005,1.380,경로 이동
eager,13.50,1,-3.994,0.063,0.000,도착
eager,13.75,0,3.222,-0.004,1.380,경로 이동
eager,13.75,1,-3.994,0.063,0.000,도착
eager,14.00,0,3.567,-0.002,1.380,경로 이동
eager,14.00,1,-3.994,0.063,0.000,도착
eager,14.25,0,3.878,-0.003,1.065,경로 이동
eager,14.25,1,-3.994,0.063,0.000,도착
eager,14.50,0,4.050,-0.014,0.440,경로 이동
eager,14.50,1,-3.994,0.063,0.000,도착
eager,14.75,0,4.079,-0.016,0.000,경로 이동
eager,14.75,1,-3.994,0.063,0.000,도착
eager,15.00,0,4.079,-0.016,0.000,경로 이동
eager,15.00,1,-3.994,0.063,0.000,도착
eager,15.25,0,4.079,-0.010,0.125,경로 이동
eager,15.25,1,-3.994,0.063,0.000,도착
