scenario,time,resident,x,z,speed,reason
crossing,3.75,0,0.439,-1.285,1.314,경로 이동
crossing,3.75,1,1.373,0.802,1.408,경로 이동
crossing,4.00,0,0.769,-1.262,1.351,경로 이동
crossing,4.00,1,1.338,1.152,1.429,경로 이동
crossing,4.25,0,1.091,-1.138,1.380,경로 이동
crossing,4.25,1,1.187,1.487,1.476,경로 이동
crossing,4.50,0,1.412,-1.012,1.380,경로 이동
crossing,4.50,1,1.029,1.821,1.476,경로 이동
crossing,4.75,0,1.734,-0.887,1.380,경로 이동
crossing,4.75,1,0.872,2.154,1.476,경로 이동
crossing,5.00,0,2.055,-0.761,1.380,경로 이동
crossing,5.00,1,0.715,2.488,1.476,경로 이동
crossing,5.25,0,2.376,-0.635,1.380,경로 이동
crossing,5.25,1,0.557,2.822,1.476,경로 이동
crossing,5.50,0,2.697,-0.510,1.380,경로 이동
crossing,5.50,1,0.400,3.156,1.476,경로 이동
crossing,5.75,0,3.019,-0.384,1.380,경로 이동
crossing,5.75,1,0.242,3.489,1.476,경로 이동
crossing,6.00,0,3.340,-0.258,1.380,경로 이동
crossing,6.00,1,0.082,3.793,1.185,경로 이동
crossing,6.25,0,3.661,-0.132,1.380,경로 이동
crossing,6.25,1,-0.012,3.977,0.578,경로 이동
crossing,6.50,0,3.895,-0.041,0.755,경로 이동
crossing,6.50,1,-0.036,4.024,0.000,도착
crossing,6.75,0,3.984,-0.006,0.130,경로 이동
crossing,6.75,1,-0.036,4.024,0.000,도착
overtake,0.00,0,-4.000,0.000,0.000,느긋함: 잠시 양보
overtake,0.00,1,-1.994,0.000,0.125,경로 이동
overtake,0.25,0,-4.000,0.000,0.000,느긋함: 잠시 양보
overtake,0.25,1,-1.869,0.000,0.750,경로 이동
overtake,0.50,0,-4.000,0.000,0.000,느긋함: 잠시 양보
overtake,0.50,1,-1.588,0.000,1.375,경로 이동
overtake,0.75,0,-4.000,0.000,0.000,느긋함: 잠시 양보
overtake,0.75,1,-1.219,0.000,1.476,경로 이동
overtake,1.00,0,-4.000,0.000,0.000,느긋함: 잠시 양보
overtake,1.00,1,-0.850,0.000,1.476,경로 이동
overtake,1.25,0,-4.000,0.000,0.000,느긋함: 잠시 양보
overtake,1.25,1,-0.481,0.000,1.476,경로 이동
overtake,1.50,0,-4.000,0.000,0.000,느긋함: 잠시 양보
overtake,1.50,1,-0.112,0.000,1.476,경로 이동
overtake,1.75,0,-3.938,0.000,0.500,경로 이동
overtake,1.75,1,0.257,0.000,1.476,경로 이동
overtake,2.00,0,-3.719,0.000,1.125,경로 이동
overtake,2.00,1,0.626,0.000,1.476,경로 이동
overtake,2.25,0,-3.381,0.000,1.380,경로 이동
overtake,2.25,1,0.995,0.000,1.476,경로 이동
overtake,2.50,0,-3.036,0.000,1.380,경로 이동
overtake,2.50,1,1.364,0.000,1.476,경로 이동
overtake,2.75,0,-2.691,0.000,1.380,경로 이동
overtake,2.75,1,1.733,0.000,1.476,경로 이동
overtake,3.00,0,-2.346,0.000,1.380,경로 이동
overtake,3.00,1,2.102,0.000,1.476,경로 이동
overtake,3.25,0,-2.001,0.000,1.380,경로 이동
overtake,3.25,1,2.471,0.000,1.476,경로 이동
overtake,3.50,0,-1.656,0.000,1.380,경로 이동
overtake,3.50,1,2.841,0.000,1.476,경로 이동
overtake,3.75,0,-1.311,0.000,1.380,경로 이동
overtake,3.75,1,3.210,0.000,1.476,경로 이동
overtake,4.00,0,-0.965,0.000,1.380,경로 이동
overtake,4.00,1,3.579,0.000,1.476,경로 이동
overtake,4.25,0,-0.620,0.000,1.380,경로 이동
overtake,4.25,1,3.948,0.000,1.476,경로 이동
overtake,4.50,0,-0.275,0.000,1.380,경로 이동
overtake,4.50,1,4.317,0.000,1.476,경로 이동
overtake,4.75,0,0.070,0.000,1.380,경로 이동
overtake,4.75,1,4.681,0.006,1.405,경로 이동
overtake,5.00,0,0.415,0.000,1.380,경로 이동
overtake,5.00,1,4.937,0.026,0.780,경로 이동
overtake,5.25,0,0.760,0.000,1.380,경로 이동
overtake,5.25,1,5.041,0.028,0.165,경로 이동
overtake,5.50,0,1.105,0.000,1.380,경로 이동
overtake,5.50,1,5.043,0.028,0.000,도착
overtake,5.75,0,1.450,0.000,1.380,경로 이동
overtake,5.75,1,5.043,0.028,0.000,도착
overtake,6.00,0,1.776,-0.032,1.237,우회: Resident_02
overtake,6.00,1,5.043,0.028,0.000,도착
overtake,6.25,0,2.068,-0.188,1.380,우회: Resident_02
overtake,6.25,1,5.043,0.028,0.000,도착
overtake,6.50,0,2.301,-0.439,1.380,우회: Resident_02
overtake,6.50,1,5.043,0.028,0.000,도착
overtake,6.75,0,2.559,-0.667,1.380,우회: Resident_02
overtake,6.75,1,5.043,0.028,0.000,도착
overtake,7.00,0,2.856,-0.843,1.380,우회: Resident_02
overtake,7.00,1,5.043,0.028,0.000,도착
overtake,7.25,0,3.182,-0.949,1.361,경로 이동
overtake,7.25,1,5.043,0.028,0.000,도착
overtake,7.50,0,3.518,-0.932,1.361,경로 이동
overtake,7.50,1,5.043,0.028,0.000,도착
overtake,7.75,0,3.849,-0.911,1.310,경로 이동
overtake,7.75,1,5.043,0.028,0.000,도착
overtake,8.00,0,4.131,-0.909,0.880,경로 이동
overtake,8.00,1,5.043,0.028,0.000,도착
overtake,8.25,0,4.258,-0.909,0.255,경로 이동
overtake,8.25,1,5.043,0.028,0.000,도착
overtake,8.50,0,4.264,-0.908,0.000,경로 이동
overtake,8.50,1,5.043,0.028,0.000,도착
overtake,8.75,0,4.275,-0.891,0.167,경로 이동
overtake,8.75,1,5.043,0.028,0.000,도착
overtake,9.00,0,4.279,-0.870,0.030,경로 이동
overtake,9.00,1,5.043,0.028,0.000,도착
overtake,9.25,0,4.259,-0.773,0.647,경로 이동
overtake,9.25,1,5.043,0.028,0.000,도착
overtake,9.50,0,4.191,-0.527,1.271,경로 이동
overtake,9.50,1,5.043,0.028,0.000,도착
overtake,9.75,0,4.080,-0.221,1.130,경로 이동
overtake,9.75,1,5.043,0.028,0.000,도착
overtake,10.00,0,4.016,-0.043,0.505,경로 이동
overtake,10.00,1,5.043,0.028,0.000,도착
overtake,10.25,0,4.003,-0.007,0.000,도착
overtake,10.25,1,5.043,0.028,0.000,도착
stationary,0.00,0,-3.994,0.000,0.125,경로 이동
stationary,0.00,1,0.000,0.000,0.000,대기
stationary,0.25,0,-3.869,0.000,0.750,경로 이동
stationary,0.25,1,0.000,0.000,0.000,대기
stationary,0.50,0,-3.588,0.000,1.375,경로 이동
stationary,0.50,1,0.000,0.000,0.000,대기
stationary,0.75,0,-3.280,0.000,1.005,느긋함: 잠시 양보
stationary,0.75,1,0.000,0.000,0.000,대기
stationary,1.00,0,-3.123,0.000,0.380,느긋함: 잠시 양보
stationary,1.00,1,0.000,0.000,0.000,대기
stationary,1.25,0,-3.103,0.000,0.000,느긋함: 잠시 양보
stationary,1.25,1,0.000,0.000,0.000,대기
stationary,1.50,0,-3.103,0.000,0.000,느긋함: 잠시 양보
stationary,1.50,1,0.000,0.000,0.000,대기
stationary,1.75,0,-3.103,0.000,0.000,느긋함: 잠시 양보
stationary,1.75,1,0.000,0.000,0.000,대기
stationary,2.00,0,-3.103,0.000,0.000,느긋함: 잠시 양보
stationary,2.00,1,0.000,0.000,0.000,대기
stationary,2.25,0,-3.097,-0.001,0.125,우회: Resident_02
stationary,2.25,1,0.000,0.000,0.000,대기
stationary,2.50,0,-3.012,-0.057,0.617,우회: Resident_02
stationary,2.50,1,0.000,0.000,0.000,대기
stationary,2.75,0,-2.870,-0.252,1.210,우회: Resident_02
stationary,2.75,1,0.000,0.000,0.000,대기
stationary,3.00,0,-2.682,-0.539,1.380,우회: Resident_02
stationary,3.00,1,0.000,0.000,0.000,대기
stationary,3.25,0,-2.481,-0.820,1.380,우회: Resident_02
stationary,3.25,1,0.000,0.000,0.000,대기
stationary,3.50,0,-2.268,-1.090,1.380,우회: Resident_02
stationary,3.50,1,0.000,0.000,0.000,대기
stationary,3.75,0,-2.041,-1.351,1.380,우회: Resident_02
stationary,3.75,1,0.000,0.000,0.000,대기
stationary,4.00,0,-1.803,-1.600,1.380,우회: Resident_02
stationary,4.00,1,0.000,0.000,0.000,대기
stationary,4.25,0,-1.550,-1.833,1.363,경로 이동
stationary,4.25,1,0.000,0.000,0.000,대기
stationary,4.50,0,-1.238,-1.973,1.380,경로 이동
stationary,4.50,1,0.000,0.000,0.000,대기
stationary,4.75,0,-0.913,-2.048,1.297,경로 이동
stationary,4.75,1,0.000,0.000,0.000,대기
stationary,5.00,0,-0.584,-1.978,1.376,경로 이동
stationary,5.00,1,0.000,0.000,0.000,대기
stationary,5.25,0,-0.267,-1.841,1.380,경로 이동
stationary,5.25,1,0.000,0.000,0.000,대기
stationary,5.50,0,0.049,-1.704,1.380,경로 이동
stationary,5.50,1,0.000,0.000,0.000,대기
stationary,5.75,0,0.366,-1.568,1.380,경로 이동
stationary,5.75,1,0.000,0.000,0.000,대기
