time,state,pelvisY,headY,pelvisVelocity,headVelocity,forwardSpeed
0.279167,Starting,0.5182370,1.1481970,-0.1201344,-0.1181030,0.4951390
0.283333,Starting,0.5176913,1.1476590,-0.1309633,-0.1291180,0.5111112
0.287500,Starting,0.5170742,1.1470480,-0.1481152,-0.1464844,0.5270835
0.291667,Starting,0.5164074,1.1463880,-0.1600313,-0.1586151,0.5430557
0.295833,Starting,0.5157014,1.1456860,-0.1694441,-0.1682854,0.5590279
0.300000,Starting,0.5149687,1.1449580,-0.1758385,-0.1748943,0.5750000
0.304167,Starting,0.5153517,1.1453430,0.0919247,0.0924969,0.5909722
0.308333,Starting,0.5157963,1.1457880,0.1067019,0.1068306,0.6069444
0.312500,Starting,0.5163142,1.1463040,0.1242971,0.1238823,0.6229167
0.316667,Starting,0.5169190,1.1469060,0.1451540,0.1443100,0.6388888
0.320833,Starting,0.5190650,1.1490450,0.5150414,0.5134964,0.6548611
0.325000,Starting,0.5214186,1.1513880,0.5648661,0.5623341,0.6708333
0.329167,Starting,0.5239201,1.1538750,0.6003428,0.5969238,0.6868055
0.333333,Starting,0.5265294,1.1564680,0.6262350,0.6221581,0.7027777
0.337500,Starting,0.5287465,1.1586670,0.5321074,0.5279160,0.7187499
0.341667,Starting,0.5309567,1.1608600,0.5304480,0.5261707,0.7347221
0.345833,Starting,0.5332295,1.1631150,0.5454683,0.5413055,0.7506943
0.350000,Starting,0.5355589,1.1654290,0.5590582,0.5552387,0.7666665
0.354167,Starting,0.5368987,1.1667550,0.3215647,0.3182316,0.7826387
0.358333,Starting,0.5371737,1.1670200,0.0660038,0.0635719,0.7986109
0.362500,Starting,0.5386559,1.1684940,0.3557110,0.3539658,0.8145832
0.366667,Starting,0.5443178,1.1741510,1.3588570,1.3576130,0.8305553
0.370833,Starting,0.5500474,1.1798760,1.3751080,1.3738920,0.8465276
0.375000,Starting,0.5532295,1.1830520,0.7637072,0.7623196,0.8624998
0.379167,Starting,0.5550686,1.1848850,0.4413843,0.4399681,0.8784719
0.383333,Starting,0.5568874,1.1866980,0.4365063,0.4349899,0.8944442
0.387500,Starting,0.5586683,1.1884720,0.4274082,0.4258347,0.9104164
0.391667,Starting,0.5603959,1.1901930,0.4146338,0.4130459,0.9263886
0.395833,Starting,0.5620560,1.1918470,0.3984261,0.3969383,0.9423608
0.400000,Starting,0.5613837,1.1911690,-0.1613474,-0.1626778,0.9583330
0.404167,Starting,0.5600889,1.1898690,-0.3107500,-0.3119373,0.9743053
0.408333,Starting,0.5588332,1.1886090,-0.3013659,-0.3025246,0.9902775
0.412500,Starting,0.5568743,1.1866450,-0.4701376,-0.4713249,1.0062500
0.416667,Starting,0.5550054,1.1847710,-0.4485369,-0.4497814,1.0222220
0.420833,Starting,0.5533162,1.1830770,-0.4054070,-0.4066658,1.0381940
0.425000,Starting,0.5518241,1.1815790,-0.3581142,-0.3593731,1.0541660
0.429167,Starting,0.5505450,1.1802950,-0.3069878,-0.3082180,1.0701380
0.433333,Starting,0.5494934,1.1792390,-0.2523851,-0.2535152,1.0861110
0.437500,Starting,0.5486833,1.1784250,-0.1944208,-0.1952934,1.1020830
0.441667,Starting,0.5481265,1.1778650,-0.1336241,-0.1343822,1.1180550
0.445833,Starting,0.5478328,1.1775690,-0.0704956,-0.0709248,1.1340270
0.450000,Starting,0.5478103,1.1775460,-0.0054073,-0.0055790,1.1499990
0.454167,Walking,0.5479678,1.1777040,0.0378084,0.0378227,1.1500000
0.458333,Walking,0.5467470,1.1764870,-0.2929974,-0.2919674,1.1500000
0.462500,Walking,0.5439923,1.1737350,-0.6611252,-0.6604385,1.1500000
0.466667,Walking,0.5408328,1.1705770,-0.7582712,-0.7579136,1.1500000
0.470833,Walking,0.5398572,1.1696020,-0.2341461,-0.2341175,1.1500000
0.475000,Walking,0.5388768,1.1686210,-0.2353048,-0.2354908,1.1500000
0.479167,Walking,0.5378927,1.1676350,-0.2361774,-0.2364635,1.1500000
0.483333,Walking,0.5369064,1.1666480,-0.2367067,-0.2370930,1.1500000
0.487500,Walking,0.5359192,1.1656590,-0.2369213,-0.2372074,1.1500000
0.491667,Walking,0.5305880,1.1603270,-1.2794920,-1.2796780,1.1500000
0.495833,Walking,0.5252360,1.1549750,-1.2844850,-1.2845710,1.1500000
0.500000,Walking,0.5198599,1.1495980,-1.2902640,-1.2903210,1.1500000
0.504167,Walking,0.5145217,1.1442600,-1.2811660,-1.2812810,1.1500000
0.508333,Walking,0.5097187,1.1394560,-1.1527350,-1.1529060,1.1500000
0.512500,Walking,0.5052248,1.1349610,-1.0785340,-1.0787770,1.1500000
0.516667,Walking,0.5009294,1.1306640,-1.0308840,-1.0312560,1.1500000
0.520833,Walking,0.4967913,1.1265240,-0.9931540,-0.9936333,1.1500000
0.525000,Walking,0.4955569,1.1252870,-0.2962589,-0.2968597,1.1500000
0.529167,Walking,0.4941804,1.1239080,-0.3303480,-0.3311062,1.1500000
0.533333,Walking,0.4928539,1.1225780,-0.3183675,-0.3190899,1.1500000
0.537500,Walking,0.4917488,1.1214700,-0.2652311,-0.2658463,1.1500000
0.541667,Walking,0.4910087,1.1207290,-0.1776052,-0.1779270,1.1500000
0.545833,Walking,0.4907218,1.1204420,-0.0688577,-0.0688076,1.1500000
0.550000,Walking,0.4908938,1.1206160,0.0412774,0.0417423,1.1500000
0.554167,Walking,0.4914381,1.1211650,0.1306272,0.1317501,1.1500000
0.558333,Walking,0.4942728,1.1240070,0.6803226,0.6819248,1.1500000
0.562500,Walking,0.4968536,1.1265960,0.6194043,0.6213856,1.1500000
0.566667,Walking,0.4993057,1.1290570,0.5885053,0.5908298,1.1500000
0.570833,Walking,0.5016769,1.1314400,0.5690861,0.5717754,1.1500000
0.575000,Walking,0.5039840,1.1337590,0.5536938,0.5567265,1.1500000
0.579167,Walking,0.5062332,1.1360230,0.5398035,0.5431366,1.1500000
0.583333,Walking,0.5084279,1.1382320,0.5267286,0.5303764,1.1500000
0.587500,Walking,0.5105710,1.1403920,0.5143547,0.5181885,1.1500000
0.591667,Walking,0.5126982,1.1425360,0.5105209,0.5147552,1.1500000
0.595833,Walking,0.5147798,1.1446370,0.4995918,0.5041695,1.1500000
0.600000,Walking,0.5167971,1.1466740,0.4841423,0.4887486,1.1500000
0.604167,Walking,0.5187258,1.1486210,0.4628849,0.4674053,1.1500000
0.608333,Walking,0.5205427,1.1504560,0.4360771,0.4403114,1.1500000
0.612500,Walking,0.5222262,1.1521550,0.4040337,0.4078102,1.1500000
0.616667,Walking,0.5237576,1.1537000,0.3675270,0.3709030,1.1500000
0.620833,Walking,0.5251200,1.1550750,0.3269720,0.3298759,1.1500000
0.625000,Walking,0.5262958,1.1562610,0.2821970,0.2846718,1.1500000
0.629167,Walking,0.5273066,1.1572810,0.2426004,0.2447891,1.1500000
0.633333,Walking,0.5281588,1.1581410,0.2045345,0.2063942,1.1500000
0.637500,Walking,0.5288450,1.1588330,0.1646662,0.1661682,1.1500000
0.641667,Walking,0.5293561,1.1593500,0.1226664,0.1239109,1.1500000
0.645833,Walking,0.5296865,1.1596830,0.0793076,0.0801373,1.1500000
0.650000,Walking,0.5298351,1.1598350,0.0356627,0.0362492,1.1500000
0.654167,Walking,0.5298085,1.1598090,-0.0063801,-0.0062370,1.1500000
0.658333,Walking,0.5306700,1.1606690,0.2067518,0.2065945,1.1500000
0.662500,Walking,0.5313573,1.1613540,0.1649523,0.1644230,1.1500000
0.666667,Walking,0.5318655,1.1618590,0.1219654,0.1210785,1.1500000
0.670833,Walking,0.5321895,1.1621780,0.0777626,0.0765324,1.1500000
0.675000,Walking,0.5323298,1.1623120,0.0336742,0.0321007,1.1500000
0.679167,Walking,0.5322930,1.1622670,-0.0088406,-0.0107288,1.1500000
0.683333,Walking,0.5320920,1.1620570,-0.0482369,-0.0504684,1.1500000
0.687500,Walking,0.5317454,1.1616990,-0.0831699,-0.0857449,1.1500000
0.691667,Walking,0.5324682,1.1624100,0.1734638,0.1704884,1.1500000
0.695833,Walking,0.5330781,1.1630050,0.1463699,0.1429081,1.1500000
0.700000,Walking,0.5335485,1.1634590,0.1128960,0.1089191,1.1500000
0.704167,Walking,0.5338705,1.1637620,0.0772762,0.0728416,1.1500000
0.708333,Walking,0.5340509,1.1639230,0.0433016,0.0385666,1.1500000
0.712500,Walking,0.5341084,1.1639600,0.0138044,0.0089550,1.1500000
0.716667,Walking,0.5340700,1.1639020,-0.0092125,-0.0140190,1.1500000
0.720833,Walking,0.5339669,1.1637800,-0.0247479,-0.0292110,1.1500000
0.725000,Walking,0.5334278,1.1632240,-0.1293898,-0.1334953,1.1500000
0.729167,Walking,0.5328552,1.1626350,-0.1374292,-0.1412773,1.1500000
0.733333,Walking,0.5321823,1.1619480,-0.1614761,-0.1650810,1.1500000
0.737500,Walking,0.5313908,1.1611430,-0.1899719,-0.1932049,1.1500000
0.741667,Walking,0.5305042,1.1602440,-0.2127886,-0.2156925,1.1500000
0.745833,Walking,0.5295806,1.1593100,-0.2216578,-0.2241325,1.1500000
0.750000,Walking,0.5286905,1.1584110,-0.2136326,-0.2157784,1.1500000
0.754167,Walking,0.5278987,1.1576120,-0.1900291,-0.1917171,1.1500000
0.758333,Walking,0.5256094,1.1553180,-0.5494308,-0.5505466,1.1500000
0.762500,Walking,0.5233356,1.1530420,-0.5456972,-0.5461979,1.1500000
0.766667,Walking,0.5211108,1.1508180,-0.5339527,-0.5339241,1.1500000
0.770833,Walking,0.5194622,1.1491710,-0.3956795,-0.3952503,1.1500000
0.775000,Walking,0.5217732,1.1514850,0.5546379,0.5553246,1.1500000
0.779167,Walking,0.5242298,1.1539450,0.5895853,0.5904293,1.1500000
0.783333,Walking,0.5268364,1.1565550,0.6255913,0.6264782,1.1500000
0.787500,Walking,0.5295797,1.1593020,0.6583929,0.6591511,1.1500000
0.791667,Walking,0.5290911,1.1588150,-0.1172590,-0.1166725,1.1500000
0.795833,Walking,0.5290356,1.1587620,-0.0133181,-0.0127888,1.1500000
0.800000,Walking,0.5292490,1.1589770,0.0511980,0.0516415,1.1500000
0.804167,Walking,0.5296562,1.1593860,0.0977325,0.0981045,1.1500000
0.808333,Walking,0.5302299,1.1599610,0.1376867,0.1380157,1.1500000
0.812500,Walking,0.5309661,1.1606990,0.1766968,0.1769829,1.1500000
0.816667,Walking,0.5318730,1.1616070,0.2176666,0.2180099,1.1500000
0.820833,Walking,0.5329646,1.1627000,0.2619696,0.2623272,1.1500000
0.825000,Walking,0.5313070,1.1610440,-0.3978252,-0.3975105,1.1500000
0.829167,Walking,0.5302408,1.1599780,-0.2558756,-0.2556610,1.1500000
0.833333,Walking,0.5295933,1.1593310,-0.1553965,-0.1552963,1.1500000
0.837500,Walking,0.5290568,1.1587950,-0.1287603,-0.1288319,1.1500000
0.841667,Walking,0.5285128,1.1582500,-0.1305628,-0.1307201,1.1500000
0.845833,Walking,0.5279590,1.1576960,-0.1329088,-0.1330376,1.1500000
0.850000,Walking,0.5273939,1.1571300,-0.1356411,-0.1357555,1.1500000
0.854167,Walking,0.5268155,1.1565510,-0.1388168,-0.1388454,1.1500000
0.858333,Walking,0.5226549,1.1523910,-0.9985399,-0.9983826,1.1500000
0.862500,Walking,0.5184764,1.1482140,-1.0028460,-1.0025880,1.1500000
0.866667,Walking,0.5147068,1.1444460,-0.9046984,-0.9043980,1.1500000
0.870833,Walking,0.5135728,1.1433130,-0.2721548,-0.2719402,1.1500000
0.875000,Walking,0.5124601,1.1422010,-0.2670479,-0.2668190,1.1500000
0.879167,Walking,0.5113701,1.1411110,-0.2616119,-0.2615833,1.1500000
0.883333,Walking,0.5103045,1.1400450,-0.2557468,-0.2557755,1.1500000
0.887500,Walking,0.5092647,1.1390050,-0.2495384,-0.2497387,1.1500000
0.891667,Walking,0.5062056,1.1359450,-0.7341957,-0.7343674,1.1500000
0.895833,Walking,0.5003658,1.1301050,-1.4015440,-1.4016440,1.1500000
0.900000,Walking,0.4944864,1.1242250,-1.4110570,-1.4110850,1.1500000
0.904167,Walking,0.4885620,1.1183000,-1.4218500,-1.4219860,1.1500000
0.908333,Walking,0.4825884,1.1123260,-1.4336590,-1.4338590,1.1500000
0.912500,Walking,0.4765603,1.1062970,-1.4467550,-1.4469620,1.1500000
0.916667,Walking,0.4705222,1.1002570,-1.4491370,-1.4495370,1.1500000
0.920833,Walking,0.4656108,1.0953440,-1.1787410,-1.1791710,1.1500000
0.925000,Walking,0.4643741,1.0941040,-0.2968025,-0.2974319,1.1500000
0.929167,Walking,0.4631949,1.0929220,-0.2830124,-0.2837563,1.1500000
0.933333,Walking,0.4622201,1.0919440,-0.2339602,-0.2347183,1.1500000
0.937500,Walking,0.4616271,1.0913490,-0.1423144,-0.1428795,1.1500000
0.941667,Walking,0.4615821,1.0913020,-0.0107932,-0.0111294,1.1500000
0.945833,Walking,0.4621901,1.0919100,0.1459122,0.1459408,1.1500000
0.950000,Walking,0.4634483,1.0931710,0.3019738,0.3024673,1.1500000
0.954167,Walking,0.4652319,1.0949590,0.4280663,0.4292107,1.1500000
