mode,time,phase,pelvis,head,pelvis_velocity,head_velocity,pelvis_acceleration,head_acceleration,source_pelvis,reach_drop,safety_drop,left_planted,right_planted
authored,0.000000,0.000000,0.4275570,1.0451000,0.000000,0.000000,0.0000,0.0000,0.4275570,0.0000000,0.0000000,0,0
authored,0.004167,0.005682,0.4282812,1.0458280,0.173800,0.174866,0.0000,0.0000,0.4282812,0.0000000,0.0000000,0,0
authored,0.008333,0.011364,0.4290053,1.0465560,0.173786,0.174608,-0.0034,-0.0618,0.4290053,0.0000000,0.0000000,0,0
authored,0.012500,0.017045,0.4301096,1.0476640,0.265045,0.265818,21.9023,21.8903,0.4301096,0.0000000,0.0000000,0,0
authored,0.016667,0.022727,0.4312140,1.0487710,0.265038,0.265846,-0.0017,0.0069,0.4312140,0.0000000,0.0000000,0,0
authored,0.020833,0.028409,0.4326760,1.0502370,0.350897,0.351849,20.6062,20.6406,0.4326760,0.0000000,0.0000000,0,0
authored,0.025000,0.034091,0.4341381,1.0517040,0.350890,0.352049,-0.0017,0.0481,0.4341381,0.0000000,0.0000000,0,0
authored,0.029167,0.039773,0.4359281,1.0535000,0.429597,0.431070,18.8896,18.9652,0.4359281,0.0000000,0.0000000,0,0
authored,0.033333,0.045455,0.4377180,1.0552980,0.429590,0.431500,-0.0017,0.1030,0.4377180,0.0000000,0.0000000,0,0
authored,0.037500,0.051136,0.4397995,1.0573890,0.499563,0.501823,16.7936,16.8778,0.4397995,0.0000000,0.0000000,0,0
authored,0.041667,0.056818,0.4418811,1.0594810,0.499563,0.502110,0.0000,0.0687,0.4418811,0.0000000,0.0000000,0,0
authored,0.045833,0.062500,0.4442117,1.0618230,0.559351,0.562105,14.3492,14.3990,0.4442117,0.0000000,0.0000000,0,0
authored,0.050000,0.068182,0.4465423,1.0641660,0.559337,0.562277,-0.0034,0.0412,0.4465423,0.0000000,0.0000000,0,0
authored,0.054167,0.073864,0.4490746,1.0667110,0.607760,0.610857,11.6215,11.6592,0.4490746,0.0000000,0.0000000,0,0
authored,0.058333,0.079545,0.4516069,1.0692570,0.607753,0.611057,-0.0017,0.0481,0.4516069,0.0000000,0.0000000,0,0
authored,0.062500,0.085227,0.4542894,1.0719540,0.643795,0.647221,8.6500,8.6792,0.4542894,0.0000000,0.0000000,0,0
authored,0.066667,0.090909,0.4569718,1.0746520,0.643787,0.647364,-0.0017,0.0343,0.4569718,0.0000000,0.0000000,0,0
authored,0.070833,0.096591,0.4597498,1.0774450,0.666718,0.670338,5.5035,5.5138,0.4597498,0.0000000,0.0000000,0,0
authored,0.075000,0.102273,0.4625278,1.0802390,0.666711,0.670567,-0.0017,0.0549,0.4625278,0.0000000,0.0000000,0,0
authored,0.079167,0.107955,0.4653448,1.0830720,0.676074,0.679951,2.2470,2.2522,0.4653448,0.0000000,0.0000000,0,0
authored,0.083333,0.113636,0.4681617,1.0859050,0.676074,0.680065,0.0000,0.0275,0.4681617,0.0000000,0.0000000,0,0
authored,0.087500,0.119318,0.4709603,1.0887210,0.671668,0.675688,-1.0574,-1.0506,0.4709603,0.0000000,0.0000000,0,0
authored,0.091667,0.125000,0.4737589,1.0915360,0.671654,0.675659,-0.0034,-0.0069,0.4737589,0.0000000,0.0000000,0,0
authored,0.095833,0.130682,0.4764822,1.0942760,0.653594,0.657578,-4.3345,-4.3396,0.4764822,0.0000000,0.0000000,0,0
authored,0.100000,0.136364,0.4792055,1.0970160,0.653586,0.657520,-0.0017,-0.0137,0.4792055,0.0000000,0.0000000,0,0
authored,0.104167,0.142045,0.4817980,1.0996250,0.622194,0.626163,-7.5342,-7.5256,0.4817980,0.0000000,0.0000000,0,0
authored,0.108333,0.147727,0.4843905,1.1022330,0.622201,0.626020,0.0017,-0.0343,0.4843905,0.0000000,0.0000000,0,0
authored,0.112500,0.153409,0.4867994,1.1046580,0.578141,0.581989,-10.5743,-10.5675,0.4867994,0.0000000,0.0000000,0,0
authored,0.116667,0.159091,0.4892083,1.1070820,0.578141,0.581875,0.0000,-0.0275,0.4892083,0.0000000,0.0000000,0,0
authored,0.120833,0.164773,0.4913847,1.1092740,0.522323,0.525885,-13.3964,-13.4376,0.4913847,0.0000000,0.0000000,0,0
authored,0.125000,0.170455,0.4935610,1.1114650,0.522323,0.525799,0.0000,-0.0206,0.4935610,0.0000000,0.0000000,0,0
authored,0.129167,0.176136,0.4954605,1.1133780,0.455875,0.459166,-15.9474,-15.9920,0.4954605,0.0000000,0.0000000,0,0
authored,0.133333,0.181818,0.4973600,1.1152900,0.455875,0.458937,0.0000,-0.0549,0.4973600,0.0000000,0.0000000,0,0
authored,0.137500,0.187500,0.4989438,1.1168860,0.380130,0.383062,-18.1789,-18.2098,0.4989438,0.0000000,0.0000000,0,0
authored,0.141667,0.193182,0.5005277,1.1184810,0.380123,0.382862,-0.0017,-0.0481,0.5005277,0.0000000,0.0000000,0,0
authored,0.145833,0.198864,0.5017638,1.1197280,0.296659,0.299177,-20.0312,-20.0844,0.5017638,0.0000000,0.0000000,0,0
authored,0.150000,0.204545,0.5029998,1.1209740,0.296659,0.298977,0.0000,-0.0481,0.5029998,0.0000000,0.0000000,0,0
authored,0.154167,0.210227,0.5038630,1.1218450,0.207167,0.209198,-21.4783,-21.5469,0.5038630,0.0000000,0.0000000,0,0
authored,0.158333,0.215909,0.5047261,1.1227160,0.207138,0.208912,-0.0069,-0.0687,0.5047261,0.0000000,0.0000000,0,0
authored,0.162500,0.221591,0.5051987,1.1231950,0.113425,0.114956,-22.4911,-22.5494,0.5051987,0.0000000,0.0000000,0,0
authored,0.166667,0.227273,0.5056713,1.1236720,0.113411,0.114670,-0.0034,-0.0687,0.5056713,0.0000000,0.0000000,0,0
authored,0.170833,0.232955,0.5057437,1.1237490,0.017381,0.018368,-23.0473,-23.1125,0.5057437,0.0000000,0.0000000,0,0
authored,0.175000,0.238636,0.5058161,1.1238240,0.017381,0.018082,0.0000,-0.0687,0.5058161,0.0000000,0.0000000,0,0
authored,0.179167,0.244318,0.5054869,1.1234970,-0.079007,-0.078564,-23.1331,-23.1949,0.5054869,0.0000000,0.0000000,0,0
authored,0.183333,0.250000,0.5051577,1.1231680,-0.079007,-0.078850,0.0000,-0.0687,0.5051577,0.0000000,0.0000000,0,0
authored,0.187500,0.255682,0.5044335,1.1224440,-0.173807,-0.173950,-22.7520,-22.8241,0.5044335,0.0000000,0.0000000,0,0
authored,0.191667,0.261364,0.5037094,1.1217180,-0.173793,-0.174236,0.0034,-0.0687,0.5037094,0.0000000,0.0000000,0,0
authored,0.195833,0.267045,0.5026050,1.1206100,-0.265045,-0.265760,-21.9006,-21.9658,0.5026050,0.0000000,0.0000000,0,0
authored,0.200000,0.272727,0.5015007,1.1195020,-0.265031,-0.266018,0.0034,-0.0618,0.5015007,0.0000000,0.0000000,0,0
authored,0.204167,0.278409,0.5000387,1.1180350,-0.350890,-0.352163,-20.6062,-20.6749,0.5000387,0.0000000,0.0000000,0,0
authored,0.208333,0.284091,0.4985767,1.1165660,-0.350883,-0.352392,0.0017,-0.0549,0.4985767,0.0000000,0.0000000,0,0
authored,0.212500,0.289773,0.4967867,1.1147690,-0.429597,-0.431385,-18.8913,-18.9583,0.4967867,0.0000000,0.0000000,0,0
authored,0.216667,0.295455,0.4949967,1.1129700,-0.429597,-0.431643,0.0000,-0.0618,0.4949967,0.0000000,0.0000000,0,0
authored,0.220833,0.301136,0.4929152,1.1108790,-0.499549,-0.501852,-16.7885,-16.8503,0.4929152,0.0000000,0.0000000,0,0
authored,0.225000,0.306818,0.4908337,1.1087870,-0.499563,-0.502081,-0.0034,-0.0549,0.4908337,0.0000000,0.0000000,0,0
authored,0.229167,0.312500,0.4885031,1.1064450,-0.559344,-0.562077,-14.3475,-14.3990,0.4885031,0.0000000,0.0000000,0,0
authored,0.233333,0.318182,0.4861725,1.1041020,-0.559359,-0.562277,-0.0034,-0.0481,0.4861725,0.0000000,0.0000000,0,0
authored,0.237500,0.323864,0.4836402,1.1015570,-0.607753,-0.610828,-11.6146,-11.6524,0.4836402,0.0000000,0.0000000,0,0
authored,0.241667,0.329545,0.4811079,1.0990110,-0.607753,-0.611029,0.0000,-0.0481,0.4811079,0.0000000,0.0000000,0,0
authored,0.245833,0.335227,0.4784254,1.0963140,-0.643802,-0.647278,-8.6517,-8.6998,0.4784254,0.0000000,0.0000000,0,0
authored,0.250000,0.340909,0.4757429,1.0936170,-0.643787,-0.647364,0.0034,-0.0206,0.4757429,0.0000000,0.0000000,0,0
authored,0.254167,0.346591,0.4729649,1.0908230,-0.666718,-0.670481,-5.5035,-5.5481,0.4729649,0.0000000,0.0000000,0,0
authored,0.258333,0.352273,0.4701870,1.0880300,-0.666704,-0.670509,0.0034,-0.0069,0.4701870,0.0000000,0.0000000,0,0
authored,0.262500,0.357955,0.4673700,1.0851960,-0.676074,-0.679951,-2.2488,-2.2659,0.4673700,0.0000000,0.0000000,0,0
authored,0.266667,0.363636,0.4645530,1.0823630,-0.676074,-0.679951,0.0000,0.0000,0.4645530,0.0000000,0.0000000,0,0
authored,0.270833,0.369318,0.4617544,1.0795480,-0.671668,-0.675659,1.0574,1.0300,0.4617544,0.0000000,0.0000000,0,0
authored,0.275000,0.375000,0.4589558,1.0767330,-0.671668,-0.675659,0.0000,0.0000,0.4589558,0.0000000,0.0000000,0,0
authored,0.279167,0.380682,0.4562325,1.0739930,-0.653594,-0.657578,4.3379,4.3396,0.4562325,0.0000000,0.0000000,0,0
authored,0.283333,0.386364,0.4535093,1.0712530,-0.653572,-0.657606,0.0051,-0.0069,0.4535093,0.0000000,0.0000000,0,0
authored,0.287500,0.392045,0.4509168,1.0686440,-0.622194,-0.626135,7.5308,7.5531,0.4509168,0.0000000,0.0000000,0,0
authored,0.291667,0.397727,0.4483243,1.0660350,-0.622194,-0.626135,0.0000,0.0000,0.4483243,0.0000000,0.0000000,0,0
authored,0.295833,0.403409,0.4459154,1.0636100,-0.578148,-0.581961,10.5709,10.6018,0.4459154,0.0000000,0.0000000,0,0
authored,0.300000,0.409091,0.4435064,1.0611860,-0.578141,-0.581789,0.0017,0.0412,0.4435064,0.0000000,0.0000000,0,0
authored,0.304167,0.414773,0.4413301,1.0589950,-0.522330,-0.525885,13.3947,13.4170,0.4413301,0.0000000,0.0000000,0,0
authored,0.308333,0.420455,0.4391537,1.0568040,-0.522323,-0.525742,0.0017,0.0343,0.4391537,0.0000000,0.0000000,0,0
