mode,time,phase,pelvis,head,pelvis_velocity,head_velocity,pelvis_acceleration,head_acceleration,source_pelvis,reach_drop,safety_drop,left_planted,right_planted
authored,0.162500,0.221591,0.4614669,1.0794630,0.711579,0.713110,-0.0017,-0.0618,0.4614669,0.0000000,0.0000000,0,0
authored,0.166667,0.227273,0.4644318,1.0824330,0.711579,0.712824,0.0000,-0.0687,0.4644318,0.0000000,0.0000000,0,0
authored,0.170833,0.232955,0.4674030,1.0854080,0.713089,0.714083,0.3622,0.3021,0.4674030,0.0000000,0.0000000,0,0
authored,0.175000,0.238636,0.4703742,1.0883820,0.713074,0.713797,-0.0034,-0.0687,0.4703742,0.0000000,0.0000000,0,0
authored,0.179167,0.244318,0.4733454,1.0913550,0.713089,0.713482,0.0034,-0.0755,0.4733454,0.0000000,0.0000000,0,0
authored,0.183333,0.250000,0.4763165,1.0943270,0.713074,0.713310,-0.0034,-0.0412,0.4763165,0.0000000,0.0000000,0,0
authored,0.187500,0.255682,0.4792877,1.0972980,0.713089,0.712881,0.0034,-0.1030,0.4792877,0.0000000,0.0000000,0,0
authored,0.191667,0.261364,0.4822589,1.1002670,0.713081,0.712652,-0.0017,-0.0549,0.4822589,0.0000000,0.0000000,0,0
authored,0.195833,0.267045,0.4852301,1.1032350,0.713081,0.712366,0.0000,-0.0687,0.4852301,0.0000000,0.0000000,0,0
authored,0.200000,0.272727,0.4882012,1.1062020,0.713081,0.712080,0.0000,-0.0687,0.4882012,0.0000000,0.0000000,0,0
authored,0.204167,0.278409,0.4899294,1.1079250,0.414763,0.413504,-71.5965,-71.6583,0.4899294,0.0000000,0.0000000,0,0
authored,0.208333,0.284091,0.4916576,1.1096470,0.414763,0.413218,0.0000,-0.0687,0.4916576,0.0000000,0.0000000,0,0
authored,0.212500,0.289773,0.4933857,1.1113680,0.414748,0.412989,-0.0034,-0.0549,0.4933857,0.0000000,0.0000000,0,0
authored,0.216667,0.295455,0.4951138,1.1130870,0.414748,0.412703,0.0000,-0.0687,0.4951138,0.0000000,0.0000000,0,0
authored,0.220833,0.301136,0.4968420,1.1148060,0.414763,0.412474,0.0034,-0.0549,0.4968420,0.0000000,0.0000000,0,0
authored,0.225000,0.306818,0.4985702,1.1165240,0.414763,0.412216,0.0000,-0.0618,0.4985702,0.0000000,0.0000000,0,0
authored,0.229167,0.312500,0.5002982,1.1182400,0.414727,0.412045,-0.0086,-0.0412,0.5002982,0.0000000,0.0000000,0,0
authored,0.233333,0.318182,0.5020264,1.1199560,0.414763,0.411844,0.0086,-0.0481,0.5020264,0.0000000,0.0000000,0,0
authored,0.237500,0.323864,0.5026530,1.1205700,0.150390,0.147285,-63.4495,-63.4941,0.5026530,0.0000000,0.0000000,0,0
authored,0.241667,0.329545,0.5032796,1.1211830,0.150390,0.147114,0.0000,-0.0412,0.5032796,0.0000000,0.0000000,0,0
authored,0.245833,0.335227,0.5039063,1.1217950,0.150390,0.146942,0.0000,-0.0412,0.5039063,0.0000000,0.0000000,0,0
authored,0.250000,0.340909,0.5045328,1.1224070,0.150375,0.146799,-0.0034,-0.0343,0.5045328,0.0000000,0.0000000,0,0
authored,0.254167,0.346591,0.5051594,1.1230180,0.150390,0.146627,0.0034,-0.0412,0.5051594,0.0000000,0.0000000,0,0
authored,0.258333,0.352273,0.5057860,1.1236290,0.150375,0.146570,-0.0034,-0.0137,0.5057860,0.0000000,0.0000000,0,0
authored,0.262500,0.357955,0.5064126,1.1242390,0.150390,0.146513,0.0034,-0.0137,0.5064126,0.0000000,0.0000000,0,0
authored,0.266667,0.363636,0.5070392,1.1248500,0.150375,0.146484,-0.0034,-0.0069,0.5070392,0.0000000,0.0000000,0,0
authored,0.270833,0.369318,0.5018554,1.1196490,-1.244116,-1.248093,-334.6778,-334.6984,0.5018554,0.0000000,0.0000000,0,0
authored,0.275000,0.375000,0.4966716,1.1144490,-1.244109,-1.248093,0.0017,0.0000,0.4966716,0.0000000,0.0000000,0,0
authored,0.279167,0.380682,0.4914878,1.1092480,-1.244116,-1.248150,-0.0017,-0.0137,0.4914878,0.0000000,0.0000000,0,0
authored,0.283333,0.386364,0.4863040,1.1040480,-1.244101,-1.248150,0.0034,0.0000,0.4863040,0.0000000,0.0000000,0,0
authored,0.287500,0.392045,0.4811201,1.0988470,-1.244130,-1.248035,-0.0069,0.0275,0.4811201,0.0000000,0.0000000,0,0
authored,0.291667,0.397727,0.4759363,1.0936470,-1.244123,-1.248035,0.0017,0.0000,0.4759363,0.0000000,0.0000000,0,0
authored,0.295833,0.403409,0.4707525,1.0884480,-1.244109,-1.247921,0.0034,0.0275,0.4707525,0.0000000,0.0000000,0,0
authored,0.300000,0.409091,0.4655687,1.0832480,-1.244116,-1.247778,-0.0017,0.0343,0.4655687,0.0000000,0.0000000,0,0
authored,0.304167,0.414773,0.4644810,1.0821460,-0.261040,-0.264616,235.9382,235.9588,0.4644810,0.0000000,0.0000000,0,0
authored,0.308333,0.420455,0.4633934,1.0810440,-0.261033,-0.264416,0.0017,0.0481,0.4633934,0.0000000,0.0000000,0,0
authored,0.312500,0.426136,0.4623058,1.0799430,-0.261033,-0.264359,0.0000,0.0137,0.4623058,0.0000000,0.0000000,0,0
authored,0.316667,0.431818,0.4612181,1.0788420,-0.261047,-0.264158,-0.0034,0.0481,0.4612181,0.0000000,0.0000000,0,0
authored,0.320833,0.437500,0.4601304,1.0777420,-0.261033,-0.263987,0.0034,0.0412,0.4601304,0.0000000,0.0000000,0,0
