mode,time,phase,pelvis,head,pelvis_velocity,head_velocity,pelvis_acceleration,head_acceleration,source_pelvis,reach_drop,safety_drop,left_planted,right_planted
authored,0.162500,0.221591,0.3976182,1.0156140,0.373721,0.375252,20.1651,20.1050,0.3976182,0.0000000,0.0000000,0,0
authored,0.166667,0.227273,0.3991754,1.0171770,0.373721,0.374966,0.0000,-0.0687,0.3991754,0.0000000,0.0000000,0,0
authored,0.170833,0.232955,0.4010510,1.0190560,0.450139,0.451126,18.3403,18.2785,0.4010510,0.0000000,0.0000000,0,0
authored,0.175000,0.238636,0.4029265,1.0209350,0.450132,0.450840,-0.0017,-0.0687,0.4029265,0.0000000,0.0000000,0,0
authored,0.179167,0.244318,0.4050823,1.0230920,0.517373,0.517817,16.1379,16.0744,0.4050823,0.0000000,0.0000000,0,0
authored,0.183333,0.250000,0.4072380,1.0252490,0.517380,0.517530,0.0017,-0.0687,0.4072380,0.0000000,0.0000000,0,0
authored,0.187500,0.255682,0.4096301,1.0276400,0.574100,0.573950,13.6127,13.5406,0.4096301,0.0000000,0.0000000,0,0
authored,0.191667,0.261364,0.4120222,1.0300300,0.574107,0.573664,0.0017,-0.0687,0.4120222,0.0000000,0.0000000,0,0
authored,0.195833,0.267045,0.4146019,1.0326070,0.619133,0.618410,10.8061,10.7391,0.4146019,0.0000000,0.0000000,0,0
authored,0.200000,0.272727,0.4171816,1.0351830,0.619118,0.618153,-0.0034,-0.0618,0.4171816,0.0000000,0.0000000,0,0
authored,0.204167,0.278409,0.4198964,1.0378920,0.651555,0.650282,7.7848,7.7110,0.4198964,0.0000000,0.0000000,0,0
authored,0.208333,0.284091,0.4226112,1.0406010,0.651555,0.650053,0.0000,-0.0549,0.4226112,0.0000000,0.0000000,0,0
authored,0.212500,0.289773,0.4254059,1.0433880,0.670717,0.668907,4.5988,4.5250,0.4254059,0.0000000,0.0000000,0,0
authored,0.216667,0.295455,0.4282005,1.0461740,0.670724,0.668678,0.0017,-0.0549,0.4282005,0.0000000,0.0000000,0,0
authored,0.220833,0.301136,0.4310181,1.0489820,0.676224,0.673943,1.3201,1.2634,0.4310181,0.0000000,0.0000000,0,0
authored,0.225000,0.306818,0.4338357,1.0517890,0.676217,0.673656,-0.0017,-0.0687,0.4338357,0.0000000,0.0000000,0,0
authored,0.229167,0.312500,0.4366190,1.0545610,0.667977,0.665274,-1.9775,-2.0119,0.4366190,0.0000000,0.0000000,0,0
authored,0.233333,0.318182,0.4394022,1.0573320,0.667970,0.665045,-0.0017,-0.0549,0.4394022,0.0000000,0.0000000,0,0
authored,0.237500,0.323864,0.4420943,1.0600120,0.646119,0.643044,-5.2443,-5.2803,0.4420943,0.0000000,0.0000000,0,0
authored,0.241667,0.329545,0.4447865,1.0626900,0.646112,0.642843,-0.0017,-0.0481,0.4447865,0.0000000,0.0000000,0,0
authored,0.245833,0.335227,0.4473327,1.0652220,0.611107,0.607624,-8.4011,-8.4526,0.4473327,0.0000000,0.0000000,0,0
authored,0.250000,0.340909,0.4498790,1.0677530,0.611093,0.607510,-0.0034,-0.0275,0.4498790,0.0000000,0.0000000,0,0
authored,0.254167,0.346591,0.4522276,1.0700860,0.563672,0.559931,-11.3811,-11.4189,0.4522276,0.0000000,0.0000000,0,0
authored,0.258333,0.352273,0.4545761,1.0724190,0.563650,0.559845,-0.0051,-0.0206,0.4545761,0.0000000,0.0000000,0,0
authored,0.262500,0.357955,0.4566792,1.0745060,0.504735,0.500879,-14.1398,-14.1518,0.4566792,0.0000000,0.0000000,0,0
authored,0.266667,0.363636,0.4587822,1.0765920,0.504727,0.500794,-0.0017,-0.0206,0.4587822,0.0000000,0.0000000,0,0
authored,0.270833,0.369318,0.4605969,1.0783910,0.435534,0.431585,-16.6065,-16.6100,0.4605969,0.0000000,0.0000000,0,0
authored,0.275000,0.375000,0.4624117,1.0801890,0.435534,0.431528,0.0000,-0.0137,0.4624117,0.0000000,0.0000000,0,0
authored,0.279167,0.380682,0.4639012,1.0816620,0.357485,0.353508,-18.7317,-18.7248,0.4639012,0.0000000,0.0000000,0,0
authored,0.283333,0.386364,0.4653907,1.0831340,0.357471,0.353451,-0.0034,-0.0137,0.4653907,0.0000000,0.0000000,0,0
authored,0.287500,0.392045,0.4665245,1.0842520,0.272133,0.268135,-20.4809,-20.4758,0.4665245,0.0000000,0.0000000,0,0
authored,0.291667,0.397727,0.4676584,1.0853690,0.272119,0.268221,-0.0034,0.0206,0.4676584,0.0000000,0.0000000,0,0
authored,0.295833,0.403409,0.4684136,1.0861090,0.181253,0.177469,-21.8079,-21.7804,0.4684136,0.0000000,0.0000000,0,0
authored,0.300000,0.409091,0.4691688,1.0868490,0.181253,0.177584,0.0000,0.0275,0.4691688,0.0000000,0.0000000,0,0
authored,0.304167,0.414773,0.4695299,1.0871950,0.086668,0.083084,-22.7005,-22.6799,0.4695299,0.0000000,0.0000000,0,0
authored,0.308333,0.420455,0.4698911,1.0875420,0.086682,0.083284,0.0034,0.0481,0.4698911,0.0000000,0.0000000,0,0
authored,0.312500,0.426136,0.4698509,1.0874880,-0.009656,-0.012989,-23.1211,-23.1056,0.4698509,0.0000000,0.0000000,0,0
authored,0.316667,0.431818,0.4698106,1.0874350,-0.009656,-0.012760,0.0000,0.0549,0.4698106,0.0000000,0.0000000,0,0
authored,0.320833,0.437500,0.4693698,1.0869810,-0.105801,-0.108776,-23.0747,-23.0438,0.4693698,0.0000000,0.0000000,0,0
authored,0.325000,0.443182,0.4689290,1.0865290,-0.105794,-0.108519,0.0017,0.0618,0.4689290,0.0000000,0.0000000,0,0
authored,0.329167,0.448864,0.4680966,1.0856860,-0.199778,-0.202274,-22.5563,-22.5014,0.4680966,0.0000000,0.0000000,0,0
authored,0.333333,0.454545,0.4672641,1.0848440,-0.199785,-0.202045,-0.0017,0.0549,0.4672641,0.0000000,0.0000000,0,0
authored,0.337500,0.460227,0.4660571,1.0836290,-0.289700,-0.291767,-21.5796,-21.5332,0.4660571,0.0000000,0.0000000,0,0
authored,0.341667,0.465909,0.4648500,1.0824140,-0.289686,-0.291452,0.0034,0.0755,0.4648500,0.0000000,0.0000000,0,0
authored,0.345833,0.471591,0.4632929,1.0808510,-0.373721,-0.375280,-20.1685,-20.1187,0.4632929,0.0000000,0.0000000,0,0
authored,0.350000,0.477273,0.4617357,1.0792880,-0.373721,-0.374966,0.0000,0.0755,0.4617357,0.0000000,0.0000000,0,0
authored,0.354167,0.482955,0.4598601,1.0774090,-0.450146,-0.451098,-18.3420,-18.2716,0.4598601,0.0000000,0.0000000,0,0
authored,0.358333,0.488636,0.4579845,1.0755300,-0.450139,-0.450869,0.0017,0.0549,0.4579845,0.0000000,0.0000000,0,0
authored,0.362500,0.494318,0.4558288,1.0733720,-0.517373,-0.517874,-16.1362,-16.0812,0.4558288,0.0000000,0.0000000,0,0
authored,0.366667,0.500000,0.4536730,1.0712160,-0.517380,-0.517530,-0.0017,0.0824,0.4536730,0.0000000,0.0000000,0,0
authored,0.370833,0.505682,0.4512810,1.0688250,-0.574100,-0.573950,-13.6127,-13.5406,0.4512810,0.0000000,0.0000000,0,0
authored,0.375000,0.511364,0.4488889,1.0664350,-0.574100,-0.573606,0.0000,0.0824,0.4488889,0.0000000,0.0000000,0,0
authored,0.379167,0.517045,0.4463092,1.0638580,-0.619125,-0.618410,-10.8061,-10.7529,0.4463092,0.0000000,0.0000000,0,0
authored,0.383333,0.522727,0.4437295,1.0612820,-0.619125,-0.618153,0.0000,0.0618,0.4437295,0.0000000,0.0000000,0,0
authored,0.387500,0.528409,0.4410147,1.0585730,-0.651555,-0.650282,-7.7831,-7.7110,0.4410147,0.0000000,0.0000000,0,0
authored,0.391667,0.534091,0.4382999,1.0558640,-0.651548,-0.649996,0.0017,0.0687,0.4382999,0.0000000,0.0000000,0,0
authored,0.395833,0.539773,0.4355052,1.0530770,-0.670724,-0.668964,-4.6022,-4.5525,0.4355052,0.0000000,0.0000000,0,0
authored,0.400000,0.545455,0.4327105,1.0502910,-0.670731,-0.668707,-0.0017,0.0618,0.4327105,0.0000000,0.0000000,0,0
authored,0.404167,0.551136,0.4298929,1.0474830,-0.676217,-0.673943,-1.3166,-1.2566,0.4298929,0.0000000,0.0000000,0,0
authored,0.408333,0.556818,0.4270753,1.0446750,-0.676231,-0.673714,-0.0034,0.0549,0.4270753,0.0000000,0.0000000,0,0
authored,0.412500,0.562500,0.4242921,1.0419040,-0.667970,-0.665216,1.9827,2.0393,0.4242921,0.0000000,0.0000000,0,0
authored,0.416667,0.568182,0.4215089,1.0391330,-0.667970,-0.665016,0.0000,0.0481,0.4215089,0.0000000,0.0000000,0,0
authored,0.420833,0.573864,0.4188167,1.0364540,-0.646112,-0.642986,5.2460,5.2872,0.4188167,0.0000000,0.0000000,0,0
authored,0.425000,0.579545,0.4161246,1.0337750,-0.646105,-0.642815,0.0017,0.0412,0.4161246,0.0000000,0.0000000,0,0
authored,0.429167,0.585227,0.4135784,1.0312430,-0.611107,-0.607681,8.3994,8.4320,0.4135784,0.0000000,0.0000000,0,0
authored,0.433333,0.590909,0.4110321,1.0287120,-0.611114,-0.607538,-0.0017,0.0343,0.4110321,0.0000000,0.0000000,0,0
authored,0.437500,0.596591,0.4086835,1.0263790,-0.563650,-0.560017,11.3914,11.4052,0.4086835,0.0000000,0.0000000,0,0
authored,0.441667,0.602273,0.4063349,1.0240460,-0.563657,-0.559845,-0.0017,0.0412,0.4063349,0.0000000,0.0000000,0,0
authored,0.445833,0.607955,0.4042319,1.0219590,-0.504735,-0.500822,14.1415,14.1655,0.4042319,0.0000000,0.0000000,0,0
authored,0.450000,0.613636,0.4021288,1.0198720,-0.504735,-0.500794,0.0000,0.0069,0.4021288,0.0000000,0.0000000,0,0
authored,0.454167,0.619318,0.4003141,1.0180750,-0.435526,-0.431471,16.6100,16.6374,0.4003141,0.0000000,0.0000000,0,0
authored,0.458333,0.625000,0.3984994,1.0162770,-0.435534,-0.431528,-0.0017,-0.0137,0.3984994,0.0000000,0.0000000,0,0
authored,0.462500,0.630682,0.3970099,1.0148040,-0.357485,-0.353508,18.7317,18.7248,0.3970099,0.0000000,0.0000000,0,0
authored,0.466667,0.636364,0.3955204,1.0133310,-0.357471,-0.353508,0.0034,0.0000,0.3955204,0.0000000,0.0000000,0,0
authored,0.470833,0.642045,0.3943865,1.0122130,-0.272133,-0.268250,20.4809,20.4620,0.3943865,0.0000000,0.0000000,0,0
authored,0.475000,0.647727,0.3932527,1.0110950,-0.272119,-0.268221,0.0034,0.0069,0.3932527,0.0000000,0.0000000,0,0
authored,0.479167,0.653409,0.3924975,1.0103560,-0.181253,-0.177441,21.8079,21.7873,0.3924975,0.0000000,0.0000000,0,0
authored,0.483333,0.659091,0.3917423,1.0096160,-0.181246,-0.177527,0.0017,-0.0206,0.3917423,0.0000000,0.0000000,0,0
authored,0.487500,0.664773,0.3913811,1.0092700,-0.086682,-0.083084,22.6954,22.6662,0.3913811,0.0000000,0.0000000,0,0
authored,0.491667,0.670455,0.3910200,1.0089240,-0.086668,-0.083199,0.0034,-0.0275,0.3910200,0.0000000,0.0000000,0,0
authored,0.495833,0.676136,0.3910602,1.0089770,0.009656,0.012903,23.1176,23.0644,0.3910602,0.0000000,0.0000000,0,0
authored,0.500000,0.681818,0.3911005,1.0090300,0.009656,0.012760,0.0000,-0.0343,0.3911005,0.0000000,0.0000000,0,0
authored,0.504167,0.687500,0.3915412,1.0094830,0.105786,0.108719,23.0713,23.0301,0.3915412,0.0000000,0.0000000,0,0
authored,0.508333,0.693182,0.3919820,1.0099360,0.105794,0.108519,0.0017,-0.0481,0.3919820,0.0000000,0.0000000,0,0
authored,0.512500,0.698864,0.3928145,1.0107790,0.199792,0.202303,22.5597,22.5082,0.3928145,0.0000000,0.0000000,0,0
authored,0.516667,0.704545,0.3936469,1.0116210,0.199778,0.202074,-0.0034,-0.0549,0.3936469,0.0000000,0.0000000,0,0
authored,0.520833,0.710227,0.3948540,1.0128360,0.289700,0.291767,21.5813,21.5263,0.3948540,0.0000000,0.0000000,0,0
authored,0.525000,0.715909,0.3960611,1.0140510,0.289693,0.291481,-0.0017,-0.0687,0.3960611,0.0000000,0.0000000,0,0
authored,0.529167,0.721591,0.3976182,1.0156140,0.373721,0.375252,20.1668,20.1050,0.3976182,0.0000000,0.0000000,0,0
authored,0.533333,0.727273,0.3991754,1.0171770,0.373728,0.374994,0.0017,-0.0618,0.3991754,0.0000000,0.0000000,0,0
authored,0.537500,0.732955,0.4010510,1.0190560,0.450132,0.451098,18.3369,18.2648,0.4010510,0.0000000,0.0000000,0,0
authored,0.541667,0.738636,0.4029266,1.0209350,0.450139,0.450840,0.0017,-0.0618,0.4029266,0.0000000,0.0000000,0,0
authored,0.545833,0.744318,0.4050823,1.0230920,0.517380,0.517817,16.1379,16.0744,0.4050823,0.0000000,0.0000000,0,0
authored,0.550000,0.750000,0.4072380,1.0252490,0.517373,0.517530,-0.0017,-0.0687,0.4072380,0.0000000,0.0000000,0,0
authored,0.554167,0.755682,0.4096301,1.0276400,0.574107,0.573950,13.6162,13.5406,0.4096301,0.0000000,0.0000000,0,0
authored,0.558333,0.761364,0.4120222,1.0300300,0.574100,0.573664,-0.0017,-0.0687,0.4120222,0.0000000,0.0000000,0,0
authored,0.562500,0.767045,0.4146019,1.0326070,0.619125,0.618410,10.8061,10.7391,0.4146019,0.0000000,0.0000000,0,0
authored,0.566667,0.772727,0.4171816,1.0351830,0.619133,0.618181,0.0017,-0.0549,0.4171816,0.0000000,0.0000000,0,0
authored,0.570833,0.778409,0.4198965,1.0378920,0.651555,0.650282,7.7814,7.7042,0.4198965,0.0000000,0.0000000,0,0
authored,0.575000,0.784091,0.4226112,1.0406010,0.651548,0.650024,-0.0017,-0.0618,0.4226112,0.0000000,0.0000000,0,0
authored,0.579167,0.789773,0.4254059,1.0433880,0.670724,0.668907,4.6022,4.5319,0.4254059,0.0000000,0.0000000,0,0
authored,0.583333,0.795455,0.4282006,1.0461740,0.670717,0.668678,-0.0017,-0.0549,0.4282006,0.0000000,0.0000000,0,0
authored,0.587500,0.801136,0.4310181,1.0489820,0.676217,0.673943,1.3201,1.2634,0.4310181,0.0000000,0.0000000,0,0
authored,0.591667,0.806818,0.4338358,1.0517890,0.676231,0.673656,0.0034,-0.0687,0.4338358,0.0000000,0.0000000,0,0
authored,0.595833,0.812500,0.4366190,1.0545610,0.667963,0.665274,-1.9844,-2.0119,0.4366190,0.0000000,0.0000000,0,0
authored,0.600000,0.818182,0.4394022,1.0573320,0.667970,0.665045,0.0017,-0.0549,0.4394022,0.0000000,0.0000000,0,0
authored,0.604167,0.823864,0.4420943,1.0600110,0.646105,0.643015,-5.2477,-5.2872,0.4420943,0.0000000,0.0000000,0,0
authored,0.608333,0.829545,0.4447865,1.0626900,0.646126,0.642872,0.0051,-0.0343,0.4447865,0.0000000,0.0000000,0,0
authored,0.612500,0.835227,0.4473327,1.0652220,0.611093,0.607624,-8.4080,-8.4595,0.4473327,0.0000000,0.0000000,0,0
authored,0.616667,0.840909,0.4498790,1.0677530,0.611107,0.607510,0.0034,-0.0275,0.4498790,0.0000000,0.0000000,0,0
